,id,dept,level,workload,employment_years,last_year_promo,last_year_violations,supervisor_evaluation,salary,job_satisfaction_rate
45,538347,technology,senior,high,3,no,no,1,84000,0.21
46,935294,marketing,junior,high,2,no,no,4,43200,0.77
47,232083,hr,senior,medium,7,no,no,3,44400,0.36
48,150996,marketing,senior,medium,8,yes,no,5,54000,0.85
49,246931,technology,middle,medium,6,no,no,4,39600,0.7
50,533575,sales,middle,medium,6,no,no,3,33600,0.39
51,436832,sales,junior,medium,2,no,no,3,26400,0.48
52,696387,sales,junior,low,4,no,no,4,12000,0.6
53,460328,technology,junior,high,1,no,no,1,37200,0.1
54,334796,technology,junior,high,2,no,no,4,46800,0.79
55,835214,technology,middle,medium,6,no,no,3,39600,0.27
56,831529,sales,junior,medium,2,no,no,5,21600,0.71
57,941760,purchasing,junior,medium,3,no,no,4,28800,0.86
58,612195,sales,junior,medium,3,no,no,3,24000,0.54
59,307447,marketing,middle,high,5,no,no,3,62400,0.5
60,305255,technology,middle,medium,8,no,no,4,40800,0.73
61,471928,sales,middle,high,4,yes,no,5,52800,0.77
62,177157,sales,junior,low,1,no,no,4,12000,0.46
63,879753,purchasing,junior,medium,2,no,no,4,30000,0.78
64,188350,marketing,middle,high,6,no,yes,1,60000,0.31
65,934538,purchasing,junior,medium,3,no,no,5,26400,0.85
66,745075,technology,junior,high,2,no,no,3,38400,0.39
67,990103,purchasing,middle,medium,2,no,no,1,42000,0.33
68,655288,sales,middle,medium,7,no,no,4,43200,0.79
69,412118,technology,junior,medium,1,no,no,4,34800,0.72
70,764738,purchasing,middle,high,6,no,no,4,49200,0.74
71,136463,purchasing,middle,low,5,no,yes,3,18000,0.22
72,782851,hr,middle,high,9,no,no,2,55200,0.56
73,448250,marketing,middle,medium,7,no,no,3,40800,0.51
74,943824,purchasing,junior,high,2,no,no,5,34800,0.61
75,686005,sales,junior,low,1,no,no,5,19200,0.72
76,510808,sales,middle,medium,5,no,no,4,33600,0.74
77,601267,technology,junior,low,1,no,no,4,19200,0.65
78,114966,hr,senior,low,5,no,no,4,40800,0.81
79,362785,hr,junior,low,1,no,no,4,13200,0.47
80,957940,sales,junior,medium,2,no,no,3,26400,0.46
81,233514,technology,middle,medium,6,yes,no,4,46800,0.99
82,984851,hr,middle,medium,1,no,yes,3,33600,0.23
83,187459,technology,middle,low,1,no,no,5,28800,0.65
84,596170,purchasing,middle,high,3,yes,no,4,49200,0.72
85,228273,sales,junior,medium,1,no,no,4,28800,0.6
86,276730,marketing,middle,medium,5,no,no,2,40800,0.58
87,702721,sales,middle,medium,6,no,yes,1,31200,0.15
88,763746,sales,middle,low,7,no,no,5,28800,0.91
89,297739,marketing,junior,low,1,no,no,5,14400,0.68
90,898627,sales,middle,high,6,no,no,3,55200,0.56
91,641867,technology,junior,high,1,no,no,1,44400,0.36
92,671796,purchasing,middle,low,3,no,no,3,28800,0.31
93,393844,sales,middle,high,5,no,no,3,46800,0.4
94,790132,marketing,middle,low,6,no,no,4,31200,0.89
95,912563,technology,middle,high,7,no,no,4,57600,0.68
96,293983,sales,junior,low,2,no,yes,3,18000,0.33
97,740091,sales,junior,medium,3,no,no,4,21600,0.63
98,933272,purchasing,junior,medium,1,no,no,5,22800,0.49
99,910969,sales,junior,medium,2,no,no,4,21600,0.67
100,976877,purchasing,middle,medium,8,no,no,4,44400,0.91
101,914780,sales,senior,low,3,no,no,5,26400,0.46
102,895497,technology,junior,low,1,no,no,5,19200,0.6
103,831218,sales,middle,high,3,yes,no,4,57600,0.8
104,538087,purchasing,junior,medium,1,no,no,3,25200,0.37
105,215945,sales,junior,low,2,no,no,4,15600,0.75
106,233000,hr,middle,medium,5,no,no,3,33600,0.54
107,849462,technology,junior,medium,2,no,no,3,34800,0.51
108,826954,technology,middle,high,5,yes,no,4,68400,0.98
109,303318,marketing,junior,high,5,no,no,1,33600,0.37
110,906885,technology,senior,medium,10,no,no,4,62400,0.68
111,621840,sales,middle,high,8,no,no,2,45600,0.26
112,396302,sales,junior,low,1,no,no,5,12000,0.45
113,146093,hr,junior,medium,3,no,no,4,31200,0.92
114,678655,purchasing,middle,high,6,no,no,4,58800,0.82
115,656945,hr,middle,medium,9,no,no,4,40800,0.82
116,794245,sales,middle,medium,3,no,yes,3,42000,0.22
117,580929,sales,middle,low,7,no,no,4,28800,0.77
118,744167,marketing,junior,low,3,no,no,2,13200,0.32
119,626201,sales,junior,medium,1,no,no,4,25200,0.66
120,204629,sales,junior,low,1,no,no,4,15600,0.66
121,748744,sales,middle,high,8,no,no,4,57600,0.79
122,347782,sales,junior,medium,2,no,no,5,27600,0.86
123,885343,hr,senior,medium,5,no,no,4,54000,0.75
124,165837,technology,middle,medium,6,no,no,4,51600,0.8
125,629315,technology,middle,high,4,no,no,2,56400,0.17
126,503247,hr,junior,medium,1,no,no,2,22800,0.15
127,234987,sales,middle,high,2,no,no,3,48000,0.14
128,390951,sales,junior,medium,2,no,no,1,26400,0.55
129,756173,technology,middle,high,3,no,no,5,64800,0.65
130,386396,marketing,junior,low,3,no,no,4,13200,0.69
131,966842,sales,junior,medium,1,no,no,3,24000,0.38
132,891640,hr,junior,medium,2,no,no,4,22800,0.69
133,800659,purchasing,junior,low,1,no,no,3,19200,0.38
134,263545,technology,middle,low,7,no,no,3,21600,0.39
135,242056,technology,junior,high,4,no,no,5,46800,0.77
136,991730,marketing,junior,low,2,no,no,4,18000,0.75
137,991291,sales,middle,low,1,no,no,4,24000,0.65
138,187280,sales,junior,high,4,no,no,5,34800,0.8
139,978512,technology,middle,low,4,no,no,4,22800,0.53
140,564724,technology,junior,medium,2,no,no,3,26400,0.4
141,128304,marketing,senior,high,7,no,no,3,80400,0.48
142,458032,sales,junior,medium,2,no,no,4,27600,0.84
143,345135,marketing,junior,low,4,no,no,3,20400,0.52
144,545240,technology,junior,medium,2,no,no,4,27600,0.71
145,347980,sales,middle,high,4,no,no,5,58800,0.7
146,679549,sales,middle,high,3,no,no,4,58800,0.68
147,844846,hr,middle,medium,5,no,no,3,43200,0.69
148,398692,sales,junior,low,4,no,no,3,12000,0.35
149,894834,sales,junior,medium,1,no,no,5,25200,0.66
150,713240,marketing,senior,low,1,no,no,3,26400,0.17
151,931392,marketing,junior,medium,2,no,no,4,31200,0.88
152,564220,hr,middle,high,5,no,no,3,50400,0.53
153,503857,marketing,senior,low,7,no,no,4,40800,0.78
154,320103,technology,middle,high,7,no,no,3,55200,0.57
155,766267,sales,middle,medium,9,no,no,4,43200,0.77
156,505773,sales,middle,low,4,no,no,1,18000,0.24
157,335445,technology,junior,low,1,no,yes,2,21600,0.23
158,844767,technology,junior,low,3,no,no,4,15600,0.61
159,874800,technology,middle,medium,8,no,no,4,40800,0.59
160,443826,purchasing,senior,medium,3,no,no,5,55200,0.73
161,793161,hr,middle,high,3,no,no,4,55200,0.66
162,357024,sales,middle,high,4,yes,no,4,52800,0.8
163,710849,sales,middle,high,5,no,yes,4,54000,0.62
164,285928,marketing,junior,high,1,no,yes,4,38400,0.42
165,681396,purchasing,junior,medium,1,no,no,4,22800,0.55
166,466316,sales,junior,high,3,no,yes,5,37200,0.7
167,566910,hr,middle,high,8,no,no,3,61200,0.61
168,907730,marketing,junior,medium,2,no,yes,3,30000,0.41
169,346102,marketing,middle,high,8,no,no,3,57600,0.53
170,462141,sales,junior,medium,1,no,no,3,20400,0.23
171,723906,hr,junior,medium,3,no,no,1,25200,0.28
172,152337,marketing,middle,medium,2,no,yes,3,45600,0.21
173,539476,sales,junior,low,1,no,yes,3,14400,0.09
174,576571,hr,junior,low,1,no,no,4,13200,0.51
175,311165,hr,junior,medium,2,no,no,3,22800,0.32
176,154585,purchasing,middle,low,6,no,yes,3,19200,0.22
177,253479,technology,senior,low,4,no,no,3,31200,0.22
178,868810,sales,junior,medium,2,no,no,5,28800,0.76
179,258111,purchasing,junior,medium,1,no,no,2,27600,0.3
180,781254,sales,senior,medium,8,no,no,4,51600,0.78
181,212887,sales,senior,low,8,no,no,2,37200,0.46
182,407938,marketing,junior,medium,1,no,yes,4,24000,0.36
183,271531,technology,junior,high,3,no,no,2,37200,0.4
184,509551,hr,senior,medium,6,yes,no,4,60000,0.97
185,482708,purchasing,junior,high,2,no,no,4,39600,0.86
186,383290,sales,junior,low,2,no,no,5,18000,0.83
187,566339,technology,middle,medium,5,no,no,2,44400,0.25
188,246162,marketing,junior,medium,1,no,no,5,32400,0.59
189,230358,sales,senior,medium,9,no,no,4,46800,0.67
190,712077,sales,junior,low,1,no,no,5,12000,0.56
191,213556,sales,middle,medium,3,no,no,4,43200,0.63
192,243089,sales,middle,low,5,no,no,2,27600,0.49
193,493733,sales,junior,medium,1,no,yes,1,26400,0.18
194,273162,purchasing,middle,high,6,no,no,2,46800,0.31
195,638570,sales,junior,medium,1,no,no,3,24000,0.32
196,486576,marketing,senior,high,9,no,no,4,76800,0.66
197,605472,sales,junior,medium,2,no,no,4,25200,0.77
198,763200,sales,senior,high,6,yes,no,4,72000,0.81
199,300352,marketing,senior,high,6,no,no,4,69600,0.67
200,226012,technology,junior,medium,2,no,no,3,26400,0.36
201,158432,technology,middle,medium,3,no,no,4,40800,0.48
202,349048,purchasing,junior,medium,2,no,no,4,25200,0.81
203,585996,sales,junior,high,1,no,no,4,31200,0.64
204,743247,technology,junior,medium,1,no,no,3,30000,0.21
205,184065,technology,middle,medium,5,no,yes,1,44400,0.17
206,167074,marketing,junior,low,3,no,no,4,16800,0.81
207,337679,hr,junior,medium,2,no,no,3,25200,0.36
208,312863,sales,middle,medium,6,no,no,3,32400,0.38
209,219630,sales,middle,low,2,no,no,3,18000,0.16
210,887441,marketing,junior,medium,2,no,yes,5,27600,0.74
211,104245,sales,middle,high,8,no,no,3,52800,0.43
212,469583,marketing,junior,high,1,no,no,4,39600,0.67
213,744767,hr,middle,low,5,no,yes,4,20400,0.46
214,762793,sales,senior,high,10,no,no,3,68400,0.41
215,901487,technology,junior,high,1,no,no,5,48000,0.71
216,329119,sales,junior,high,2,no,no,4,31200,0.67
217,197817,sales,middle,medium,4,no,no,4,38400,0.68
218,630291,hr,junior,medium,2,no,no,3,22800,0.28
219,108962,sales,middle,low,2,no,no,4,19200,0.58
220,632214,sales,middle,medium,6,no,yes,4,43200,0.59
221,290567,technology,junior,medium,4,no,no,3,26400,0.26
222,551834,purchasing,junior,low,1,no,no,4,15600,0.61
223,366884,purchasing,middle,medium,7,no,no,3,33600,0.51
224,986528,sales,middle,low,7,no,yes,4,28800,0.74
225,192446,marketing,middle,low,1,yes,no,5,26400,0.75
226,882285,marketing,middle,low,2,no,no,4,20400,0.58
227,293728,sales,middle,medium,6,no,no,3,40800,0.57
228,744464,marketing,junior,medium,1,no,yes,4,28800,0.56
229,764200,purchasing,middle,high,8,no,yes,3,54000,0.44
230,338798,technology,middle,low,7,no,no,3,33600,0.49
231,441572,purchasing,middle,high,7,no,no,4,50400,0.6
232,662887,technology,middle,medium,6,no,no,3,45600,0.52
233,953083,technology,middle,low,5,no,yes,3,33600,0.33
234,855683,sales,junior,medium,1,no,no,5,25200,0.73
235,316587,purchasing,junior,medium,3,no,no,5,25200,0.76
236,262444,purchasing,junior,medium,1,no,no,4,25200,0.65
237,472960,hr,junior,medium,3,no,yes,2,30000,0.38
238,945047,purchasing,junior,medium,1,no,yes,4,22800,0.35
239,318905,technology,junior,low,3,no,no,3,22800,0.58
240,164674,marketing,middle,medium,5,no,no,2,40800,0.44
241,821791,technology,middle,high,3,no,no,5,64800,0.68
242,960700,sales,middle,medium,4,no,yes,2,37200,0.04
243,781702,purchasing,junior,low,1,no,no,3,12000,0.19
244,980972,hr,junior,medium,3,no,no,4,30000,0.82
245,364146,sales,middle,medium,7,no,yes,2,42000,0.4
246,339371,purchasing,middle,low,5,no,no,3,28800,0.43
247,850093,purchasing,middle,high,3,no,no,4,49200,0.42
248,925323,technology,junior,low,2,no,no,2,14400,0.4
249,446360,sales,junior,medium,1,no,no,5,28800,0.71
250,545971,sales,junior,low,1,no,no,3,18000,0.31
251,235489,hr,junior,medium,3,no,no,5,24000,0.67
252,343330,hr,middle,medium,5,yes,no,3,40800,0.79
253,541183,technology,junior,medium,2,no,no,2,25200,0.36
254,210410,sales,junior,medium,1,no,no,3,21600,0.23
255,458941,sales,middle,medium,5,no,no,4,43200,0.81
256,876633,sales,junior,low,1,no,no,3,12000,0.1
257,833534,marketing,middle,medium,4,yes,no,4,36000,0.67
258,778563,marketing,senior,medium,6,no,no,3,61200,0.25
259,805026,sales,junior,medium,1,no,yes,3,24000,0.23
260,859046,marketing,middle,medium,8,no,yes,3,44400,0.33
261,828186,technology,middle,high,5,no,no,3,57600,0.57
262,615317,sales,middle,medium,7,no,no,3,33600,0.31
263,920983,sales,junior,high,1,no,no,5,33600,0.78
264,657355,hr,middle,medium,2,no,no,4,34800,0.45
265,760624,technology,middle,medium,5,no,no,3,51600,0.51
266,628206,marketing,middle,low,4,no,no,3,20400,0.24
267,412868,sales,junior,medium,1,no,no,4,25200,0.7
268,292206,hr,middle,medium,9,no,no,3,39600,0.47
269,108560,sales,senior,high,2,no,no,1,68400,0.16
270,316603,sales,junior,low,3,no,no,3,18000,0.5
271,137188,technology,junior,low,2,no,no,4,19200,0.89
272,618789,technology,junior,medium,2,no,no,3,33600,0.43
273,500434,hr,junior,low,2,no,yes,4,16800,0.6
274,541512,marketing,junior,medium,1,no,no,5,24000,0.42
275,944471,marketing,junior,low,1,no,no,5,16800,0.79
276,854386,marketing,middle,low,6,no,no,3,30000,0.44
277,827464,technology,middle,medium,9,no,no,4,50400,0.75
278,716287,sales,junior,low,1,no,no,2,12000,0.23
279,425755,purchasing,middle,medium,8,no,yes,2,42000,0.36
280,228333,purchasing,junior,low,1,no,no,1,12000,0.24
281,441108,sales,junior,high,1,no,no,4,34800,0.79
282,887730,sales,junior,low,4,no,yes,4,12000,0.58
283,976096,technology,junior,medium,1,no,no,4,31200,0.62
284,237086,sales,junior,medium,1,no,yes,2,20400,0.09
285,266714,purchasing,junior,high,2,no,yes,4,36000,0.59
286,637228,purchasing,junior,medium,1,no,no,4,30000,0.68
287,314469,purchasing,middle,medium,9,no,no,5,39600,0.8
288,382709,purchasing,junior,medium,1,no,no,4,26400,0.71
289,142866,marketing,junior,medium,1,no,no,5,27600,0.74
290,972463,technology,middle,medium,6,yes,no,3,50400,0.67
291,740901,sales,junior,low,1,no,no,3,14400,0.22
292,337564,marketing,middle,low,3,no,no,5,26400,0.63
293,607995,technology,middle,high,4,yes,no,5,63600,0.83
294,193375,sales,middle,medium,1,no,no,2,42000,0.28
295,349478,sales,junior,medium,1,no,no,5,28800,0.69
296,228902,hr,middle,high,5,no,no,1,48000,0.33
297,433880,marketing,middle,low,6,no,no,2,30000,0.51
298,902122,hr,middle,medium,8,no,no,3,39600,0.56
299,410570,sales,middle,low,5,no,yes,4,28800,0.7
300,620517,sales,middle,high,3,no,no,4,49200,0.53
301,729352,sales,middle,medium,4,no,no,2,37200,0.13
302,758415,technology,middle,high,1,yes,yes,2,55200,0.15
303,425330,sales,middle,low,4,no,no,4,28800,0.68
304,635254,marketing,junior,medium,3,no,yes,3,27600,0.37
305,894649,marketing,junior,low,2,no,no,3,13200,0.29
306,532173,sales,middle,medium,4,no,yes,4,43200,0.48
307,874612,purchasing,middle,high,1,no,no,2,57600,0.38
308,567556,marketing,middle,medium,2,no,yes,3,40800,0.22
309,442869,technology,middle,medium,8,no,no,4,45600,0.95
310,682864,sales,middle,low,1,no,no,4,19200,0.45
311,420001,purchasing,junior,medium,1,no,no,3,28800,0.38
312,697326,sales,junior,low,1,no,no,4,15600,0.67
313,867424,technology,junior,medium,5,no,no,3,26400,0.28
314,977465,marketing,middle,medium,7,no,no,3,39600,0.41
315,385648,sales,middle,medium,8,no,no,5,34800,0.66
316,893356,technology,middle,low,6,no,no,1,32400,0.58
317,343711,sales,junior,medium,1,no,no,5,27600,0.67
318,322838,sales,senior,high,5,yes,no,4,64800,0.65
319,523341,hr,middle,low,4,no,no,4,25200,0.62
320,513861,technology,junior,medium,3,no,no,3,30000,0.41
321,522980,marketing,junior,medium,1,no,no,3,31200,0.39
322,297222,hr,middle,low,8,no,yes,3,24000,0.3
323,547578,hr,middle,medium,4,no,no,3,33600,0.33
324,504426,sales,junior,low,2,no,no,4,12000,0.6
325,818407,sales,middle,low,4,no,no,5,24000,0.62
326,119382,sales,middle,medium,1,no,no,5,33600,0.43
327,944700,purchasing,middle,medium,3,no,no,3,42000,0.47
328,977552,sales,junior,high,4,no,no,3,30000,0.54
329,292210,technology,senior,medium,3,no,yes,4,56400,0.35
330,170292,technology,junior,medium,4,no,yes,3,33600,0.27
331,123373,purchasing,junior,low,1,no,no,5,19200,0.62
332,228136,sales,junior,medium,1,no,no,2,26400,0.26
333,301319,purchasing,junior,medium,2,no,no,4,28800,0.93
334,904973,technology,junior,medium,1,no,yes,2,25200,0.04
335,335471,sales,middle,medium,1,no,no,2,32400,0.23
336,637383,purchasing,junior,medium,2,no,no,4,25200,0.75
337,477118,sales,middle,low,4,no,no,5,24000,0.69
338,395258,sales,junior,medium,5,no,yes,3,21600,0.13
339,266019,purchasing,junior,medium,2,no,no,3,28800,0.58
340,451914,marketing,junior,medium,3,no,yes,3,26400,0.2
341,430631,technology,junior,low,2,no,no,1,21600,0.46
342,126397,hr,middle,high,5,no,no,3,54000,0.54
343,420684,hr,middle,low,5,no,no,4,30000,0.78
344,683959,sales,junior,low,3,no,yes,4,18000,0.63
345,118705,hr,junior,high,1,no,no,3,40800,0.35
346,156372,sales,senior,medium,4,no,no,5,57600,0.65
347,785419,purchasing,junior,low,2,no,no,4,15600,0.81
348,956451,sales,senior,medium,5,no,no,3,58800,0.29
349,458510,technology,junior,low,1,no,yes,3,19200,0.14
350,584819,marketing,middle,high,6,no,no,3,50400,0.4
351,938414,technology,junior,medium,3,no,no,4,31200,0.79
352,877587,marketing,middle,medium,2,no,no,4,46800,0.67
353,414255,marketing,junior,medium,1,no,no,4,27600,0.73
354,465432,hr,middle,medium,7,no,no,4,45600,0.79
355,665974,sales,middle,high,2,no,yes,3,55200,0.14
356,709419,sales,senior,medium,9,no,no,5,54000,0.85
357,910746,sales,middle,high,7,no,yes,3,55200,0.41
358,703621,marketing,middle,high,1,no,no,3,61200,0.36
359,724804,sales,middle,medium,4,yes,no,4,33600,0.65
360,405345,marketing,senior,high,7,no,no,2,81600,0.58
361,197880,sales,middle,medium,4,no,no,5,34800,0.54
362,531825,technology,middle,low,1,no,no,1,26400,0.13
363,673092,technology,junior,medium,1,no,no,4,34800,0.69
364,457411,sales,middle,medium,9,no,no,4,33600,0.69
365,368338,hr,junior,low,4,no,no,4,16800,0.93
366,571789,technology,junior,high,2,no,yes,3,38400,0.2
367,285852,technology,junior,medium,2,no,yes,3,34800,0.25
368,620902,hr,middle,medium,6,no,no,3,43200,0.74
369,841861,marketing,junior,low,2,no,no,5,14400,0.65
370,470675,marketing,middle,medium,7,no,no,5,46800,0.82
371,716459,technology,junior,low,1,no,no,4,19200,0.67
372,188395,marketing,middle,medium,2,no,no,3,36000,0.24
373,529450,sales,senior,low,6,no,no,4,25200,0.56
374,476035,sales,middle,high,7,no,no,4,58800,0.87
375,676405,sales,middle,low,5,no,yes,3,24000,0.36
376,568188,purchasing,junior,high,1,no,no,1,31200,0.11
377,931980,hr,senior,medium,9,no,no,4,48000,0.7
378,622997,sales,middle,medium,3,no,yes,1,32400,0.08
379,713795,sales,junior,low,1,no,no,5,12000,0.57
380,482583,marketing,middle,medium,6,no,no,3,36000,0.35
381,580210,technology,middle,low,4,no,no,3,32400,0.38
382,242819,technology,middle,medium,5,no,yes,3,50400,0.37
383,500435,technology,junior,low,3,no,no,4,19200,0.84
384,408043,sales,middle,high,5,no,no,4,52800,0.78
385,826659,sales,middle,medium,5,no,yes,4,33600,0.43
386,830598,hr,middle,low,2,no,no,4,30000,0.68
387,689569,purchasing,junior,low,1,no,no,5,19200,0.7
388,125547,technology,middle,high,7,no,yes,3,66000,0.57
389,493420,hr,middle,medium,2,no,no,3,33600,0.36
390,662073,hr,junior,low,2,no,no,4,19200,0.82
391,989771,sales,junior,medium,4,no,no,4,21600,0.73
392,535446,sales,junior,medium,2,no,no,4,25200,0.79
393,712221,sales,junior,low,1,no,no,3,18000,0.27
394,162122,purchasing,middle,medium,2,no,no,5,36000,0.42
395,384627,technology,junior,low,2,no,no,4,15600,0.68
396,643789,sales,junior,low,5,no,no,4,19200,0.91
397,112348,technology,junior,low,1,no,no,4,19200,0.59
398,936773,technology,junior,medium,3,no,no,4,34800,0.77
399,860377,marketing,middle,low,5,no,yes,4,20400,0.38
400,323892,technology,junior,low,1,no,no,4,15600,0.47
401,845987,marketing,junior,medium,1,no,no,4,27600,0.6
402,539588,technology,middle,high,3,no,yes,4,62400,0.47
403,362496,technology,junior,low,1,no,no,4,15600,0.53
404,889606,technology,junior,medium,4,no,no,4,31200,0.94
405,101129,technology,junior,medium,1,no,no,4,34800,0.71
406,312260,technology,middle,low,2,no,no,4,34800,0.61
407,450603,purchasing,middle,low,6,no,no,3,18000,0.39
408,173878,purchasing,middle,medium,3,yes,no,3,42000,0.69
409,702814,purchasing,senior,medium,3,no,no,4,61200,0.61
410,478041,technology,middle,low,2,no,no,3,28800,0.26
411,783080,sales,junior,low,2,no,no,4,15600,0.8
412,776621,hr,middle,medium,4,no,no,3,40800,0.51
413,440069,marketing,middle,high,8,no,no,3,51600,0.35
414,520869,sales,middle,high,5,yes,no,2,45600,0.48
415,875850,marketing,middle,low,7,no,no,5,26400,0.91
416,249025,technology,senior,medium,2,no,yes,2,61200,0.07
417,249057,purchasing,junior,low,2,no,no,4,12000,0.61
418,842517,technology,junior,low,2,no,no,5,22800,0.87
419,969419,marketing,junior,medium,1,no,no,3,30000,0.41
420,570928,purchasing,junior,medium,1,no,no,3,28800,0.39
421,499902,technology,junior,medium,3,no,no,2,33600,0.56
422,723549,technology,junior,medium,4,no,yes,1,30000,0.17
423,773664,marketing,junior,low,2,no,no,4,20400,0.92
424,602303,hr,junior,low,1,no,no,4,13200,0.58
425,103343,technology,senior,medium,5,no,no,4,63600,0.7
426,233612,sales,junior,low,3,no,yes,3,18000,0.35
427,399126,sales,senior,high,2,no,no,2,76800,0.26
428,203326,sales,junior,low,2,no,yes,3,14400,0.11
429,973471,technology,middle,medium,6,no,no,3,44400,0.37
430,464364,sales,junior,medium,2,no,no,1,26400,0.57
431,219417,technology,middle,medium,5,no,yes,2,49200,0.39
432,340603,technology,middle,high,8,no,no,4,68400,0.85
433,945525,purchasing,junior,medium,2,no,yes,2,25200,0.39
434,154154,sales,middle,low,7,no,yes,3,27600,0.26
435,129167,sales,junior,medium,1,no,no,5,21600,0.55
436,819598,sales,middle,medium,2,no,yes,2,37200,0.09
437,302957,purchasing,junior,low,1,no,no,4,15600,0.61
438,734637,sales,middle,low,8,no,yes,3,24000,0.36
439,338675,sales,middle,low,5,no,no,3,22800,0.34
440,340276,hr,middle,high,6,no,yes,1,52800,0.16
441,840074,marketing,junior,low,1,no,no,4,20400,0.9
442,654641,sales,middle,low,7,no,no,5,25200,0.84
443,291193,marketing,junior,medium,3,no,no,3,26400,0.37
444,437731,sales,middle,low,6,no,no,4,28800,0.8
445,784018,sales,middle,low,7,no,no,3,27600,0.57
446,256678,hr,middle,high,2,no,no,3,49200,0.36
447,486834,technology,middle,low,3,no,no,3,33600,0.34
448,930557,hr,middle,high,5,no,no,3,55200,0.65
449,665109,purchasing,middle,low,5,no,no,3,24000,0.43
450,908254,marketing,senior,high,4,no,no,5,68400,0.54
451,573139,sales,middle,low,5,no,yes,4,28800,0.68
452,789118,sales,junior,low,1,no,no,4,12000,0.45
453,191900,technology,junior,medium,3,no,no,3,30000,0.33
454,864636,technology,middle,high,6,no,no,4,69600,0.81
455,445018,hr,junior,medium,2,no,no,4,26400,0.77
456,132271,sales,senior,medium,9,no,yes,3,51600,0.35
457,169472,marketing,middle,medium,7,no,no,2,39600,0.4
458,338537,hr,middle,low,10,no,yes,3,24000,0.39
459,524604,sales,middle,medium,2,no,no,4,43200,0.69
460,778478,sales,junior,medium,3,no,no,3,24000,0.42
461,658549,sales,junior,low,1,no,no,4,12000,0.47
462,452064,purchasing,junior,medium,1,no,no,2,21600,0.11
463,132424,technology,junior,medium,2,no,no,1,33600,0.56
464,286584,sales,middle,low,5,no,no,4,19200,0.68
465,541842,technology,middle,medium,6,no,no,3,44400,0.34
466,154611,sales,middle,medium,6,no,no,5,33600,0.63
467,968370,purchasing,middle,medium,3,no,no,4,44400,0.7
468,570083,sales,junior,medium,1,no,no,2,24000,0.4
469,256960,sales,senior,medium,5,no,yes,4,45600,0.37
470,534237,hr,middle,low,3,no,no,5,25200,0.67
471,855326,sales,middle,high,6,no,yes,3,48000,0.16
472,547149,purchasing,junior,high,2,no,no,4,34800,0.7
473,800717,marketing,middle,medium,6,yes,no,2,34800,0.43
474,738243,technology,middle,high,1,no,no,2,66000,0.36
475,363647,sales,middle,medium,10,no,no,4,33600,0.69
476,956212,purchasing,junior,low,1,no,no,4,15600,0.73
