,id,dept,level,workload,employment_years,last_year_promo,last_year_violations,supervisor_evaluation,salary,quit
48,480274,technology,junior,medium,3,no,no,4,27600,no
49,597916,hr,middle,medium,2,no,no,5,39600,no
50,821568,sales,junior,medium,2,no,no,1,24000,no
51,187627,sales,middle,low,5,yes,no,4,24000,no
52,190832,sales,junior,low,1,no,no,4,12000,yes
53,852217,purchasing,middle,medium,10,no,no,4,45600,yes
54,203081,technology,middle,low,5,no,no,4,22800,no
55,910344,marketing,middle,medium,4,no,no,2,40800,no
56,498622,technology,middle,low,1,no,no,3,21600,yes
57,433464,purchasing,middle,high,5,no,yes,2,56400,no
58,512380,purchasing,junior,medium,2,no,yes,1,24000,yes
59,191535,sales,middle,medium,4,no,no,4,33600,no
60,600907,sales,junior,medium,2,no,no,3,27600,no
61,852698,technology,middle,low,5,no,no,3,33600,yes
62,658361,purchasing,junior,medium,4,no,yes,3,25200,no
63,498438,technology,junior,medium,4,no,no,4,34800,no
64,445799,purchasing,junior,medium,3,no,no,2,28800,yes
65,781190,marketing,junior,medium,1,no,no,4,24000,yes
66,951716,purchasing,middle,high,4,no,no,3,52800,no
67,851929,sales,middle,low,5,no,no,4,19200,yes
68,282979,sales,middle,low,5,no,no,4,24000,yes
69,579620,marketing,middle,low,6,no,no,4,20400,no
70,680308,marketing,middle,high,4,no,no,5,62400,no
71,621746,sales,middle,medium,7,no,yes,3,33600,no
72,510323,technology,junior,medium,1,no,yes,4,36000,no
73,831361,technology,middle,high,4,no,yes,4,57600,no
74,856429,sales,middle,high,3,no,no,4,58800,no
75,730931,sales,junior,low,1,no,no,3,12000,yes
76,782326,technology,junior,medium,2,no,no,4,34800,no
77,593609,hr,junior,medium,3,no,no,2,30000,no
78,765674,technology,middle,high,4,no,no,3,61200,no
79,431612,sales,junior,medium,4,no,no,1,24000,no
80,727638,purchasing,junior,medium,1,no,no,4,22800,yes
81,877836,technology,senior,low,9,no,no,4,48000,no
82,320217,sales,junior,high,2,no,no,4,34800,no
83,198751,purchasing,junior,low,3,no,no,3,18000,yes
84,547221,sales,middle,medium,3,no,no,3,43200,no
85,361924,sales,junior,high,2,no,yes,1,32400,yes
86,609391,sales,middle,medium,6,no,yes,4,43200,no
87,171019,hr,junior,medium,2,no,no,5,24000,no
88,906121,sales,middle,high,4,no,no,4,57600,no
89,983352,sales,junior,medium,3,no,no,1,26400,no
90,287602,hr,senior,high,3,no,no,5,73200,no
91,975666,hr,senior,medium,6,no,no,5,61200,no
92,698069,marketing,middle,low,6,no,no,3,30000,no
93,190768,sales,junior,medium,1,no,yes,3,25200,no
94,496732,technology,junior,medium,3,no,no,4,31200,no
95,430622,marketing,middle,medium,5,no,no,1,39600,no
96,165844,sales,middle,high,2,no,no,4,52800,no
97,337975,technology,junior,medium,1,no,no,5,31200,no
98,711064,hr,middle,medium,4,no,no,5,36000,no
99,293126,purchasing,junior,medium,2,no,no,5,22800,no
100,540780,sales,senior,high,7,no,yes,3,78000,no
101,682322,purchasing,junior,high,2,no,no,3,37200,yes
102,208186,hr,middle,medium,6,no,no,1,33600,no
103,547228,hr,middle,low,2,yes,no,3,30000,no
104,139459,marketing,middle,medium,4,no,no,3,46800,no
105,450126,marketing,middle,high,3,yes,no,4,52800,no
106,318373,sales,junior,low,1,no,yes,2,12000,yes
107,334832,marketing,junior,low,1,no,no,4,16800,no
108,310951,technology,junior,medium,2,no,no,4,31200,no
109,530528,technology,junior,medium,4,no,no,4,27600,no
110,262471,purchasing,middle,medium,5,no,yes,2,43200,no
111,595287,technology,middle,low,8,no,no,3,27600,no
112,959885,technology,senior,medium,5,no,no,3,54000,no
113,327657,purchasing,middle,low,5,no,no,4,24000,no
114,618017,sales,middle,low,7,no,no,4,24000,no
115,429856,technology,junior,medium,1,no,no,3,31200,yes
116,325743,marketing,middle,medium,5,no,no,4,46800,no
117,873412,technology,junior,medium,2,no,no,4,31200,no
118,921999,marketing,junior,high,2,no,no,4,38400,no
119,701274,sales,senior,medium,9,no,no,3,44400,no
120,490162,purchasing,junior,medium,1,no,no,4,30000,yes
121,831337,sales,middle,low,4,no,no,2,22800,no
122,165264,marketing,middle,low,4,no,no,3,30000,no
123,592352,technology,junior,medium,1,no,no,5,34800,no
124,594726,sales,junior,medium,1,no,no,3,24000,yes
125,728657,sales,middle,low,3,no,no,3,22800,yes
126,182219,marketing,junior,medium,2,no,no,3,31200,no
127,893998,technology,junior,medium,1,no,no,3,34800,yes
128,360653,technology,junior,low,2,no,no,3,22800,yes
129,759353,technology,middle,medium,6,no,no,2,38400,no
130,180406,sales,senior,high,2,no,no,4,64800,no
131,765542,purchasing,senior,medium,4,no,yes,3,57600,no
132,630300,hr,junior,low,1,no,no,4,20400,no
133,681227,hr,junior,low,2,no,no,3,19200,yes
134,406825,purchasing,middle,medium,2,no,no,4,39600,no
135,962152,technology,junior,low,1,no,no,4,19200,yes
136,333540,sales,middle,low,3,no,no,4,19200,no
137,948157,sales,junior,medium,2,no,yes,3,20400,yes
138,976650,hr,junior,high,3,no,no,5,37200,no
139,219281,sales,junior,low,1,no,yes,3,12000,yes
140,748510,technology,middle,low,5,no,no,3,32400,no
141,592970,hr,junior,low,2,no,no,4,20400,no
142,299609,sales,middle,low,6,no,no,4,19200,no
143,244938,marketing,middle,medium,3,no,no,3,40800,no
144,847141,sales,middle,low,5,no,no,4,19200,no
145,150167,sales,junior,medium,1,no,no,5,27600,no
146,469267,hr,junior,medium,2,no,no,3,22800,yes
147,800830,marketing,middle,medium,6,no,no,4,46800,no
148,800917,hr,middle,medium,6,no,yes,2,43200,no
149,862815,sales,junior,high,1,no,no,4,37200,no
150,344668,technology,junior,high,1,no,no,4,46800,yes
151,474550,sales,middle,low,8,no,no,4,19200,no
152,749683,sales,middle,low,8,no,no,4,19200,no
153,326732,technology,junior,low,1,no,no,5,24000,no
154,394155,hr,middle,medium,1,no,no,3,34800,no
155,677952,marketing,junior,medium,4,no,no,4,31200,no
156,527044,sales,middle,low,5,no,no,3,18000,no
157,767664,marketing,middle,high,6,no,no,3,54000,no
158,572684,hr,junior,medium,4,no,no,1,21600,no
159,590713,technology,senior,medium,7,no,no,5,73200,no
160,590735,technology,senior,medium,9,no,no,5,72000,no
161,920189,marketing,middle,medium,8,no,no,4,40800,no
162,395027,marketing,middle,medium,6,no,no,5,36000,no
163,140236,technology,junior,low,2,no,no,4,19200,no
164,142402,marketing,junior,high,2,no,no,2,33600,yes
165,982606,sales,junior,low,2,no,no,5,19200,no
166,994920,sales,middle,medium,7,no,no,2,31200,no
167,199793,technology,junior,medium,1,no,no,4,34800,no
168,391260,marketing,middle,medium,6,no,no,4,36000,no
169,145938,technology,senior,medium,7,yes,yes,4,62400,no
170,342717,purchasing,junior,medium,1,no,no,3,25200,no
171,649622,marketing,middle,low,8,no,no,5,25200,no
172,674121,technology,junior,medium,3,no,no,3,26400,yes
173,552263,marketing,middle,high,2,no,no,3,62400,yes
174,412253,sales,middle,medium,10,no,no,5,38400,no
175,689526,marketing,middle,low,6,no,no,3,30000,no
176,913521,sales,junior,medium,1,no,no,4,24000,no
177,221429,sales,junior,medium,1,no,no,1,20400,yes
178,633400,purchasing,senior,medium,7,no,no,4,58800,no
179,208223,technology,senior,high,7,no,no,3,94800,no
180,783850,sales,middle,medium,2,no,no,4,38400,no
181,423314,sales,junior,low,2,no,no,4,12000,yes
182,981479,sales,middle,medium,4,no,no,4,38400,no
183,706151,hr,junior,medium,5,no,no,4,26400,no
184,500368,purchasing,junior,low,3,no,no,3,18000,no
185,694599,technology,senior,high,1,no,no,4,96000,no
186,231576,hr,middle,low,6,no,no,3,24000,no
187,652402,sales,junior,medium,5,no,no,3,25200,no
188,710365,marketing,junior,medium,3,no,no,3,30000,no
189,493207,marketing,middle,high,6,no,no,4,63600,no
190,586365,purchasing,middle,medium,7,no,no,4,44400,no
191,102155,technology,middle,high,8,no,no,4,57600,no
192,886091,hr,junior,medium,2,no,yes,2,22800,yes
193,288221,purchasing,middle,high,7,no,no,5,58800,no
194,269621,sales,middle,high,4,no,no,4,58800,yes
195,797587,sales,senior,low,5,no,no,5,39600,no
196,829516,technology,junior,medium,2,no,no,3,25200,yes
197,716687,technology,junior,low,2,no,no,5,15600,yes
198,646839,sales,senior,high,5,no,no,4,79200,no
199,629288,sales,middle,high,4,no,no,3,55200,no
200,129007,hr,middle,medium,2,no,yes,3,44400,no
201,188635,marketing,middle,high,8,no,no,4,63600,no
202,254088,technology,middle,low,7,no,yes,3,21600,no
203,813659,marketing,junior,medium,2,no,no,4,31200,no
204,885178,hr,junior,low,4,no,no,3,19200,no
205,786443,purchasing,middle,low,6,no,no,4,19200,no
206,364235,technology,middle,high,6,no,yes,1,60000,no
207,969538,purchasing,middle,medium,7,no,no,1,42000,no
208,231987,sales,junior,medium,2,no,no,3,20400,yes
209,923719,marketing,middle,medium,7,no,no,5,42000,no
210,182385,technology,junior,low,1,no,yes,4,19200,yes
211,665985,sales,middle,high,8,no,no,4,49200,no
212,172281,marketing,middle,high,7,no,no,1,50400,no
213,205559,technology,junior,low,2,no,no,3,14400,yes
214,373741,hr,middle,medium,4,no,no,3,34800,no
215,712767,marketing,junior,low,2,no,no,3,16800,yes
216,392933,hr,middle,high,5,no,yes,3,49200,no
217,924875,sales,middle,medium,6,no,no,3,42000,no
218,749161,marketing,junior,low,1,no,no,4,14400,no
219,954218,sales,middle,high,3,no,yes,4,52800,no
220,323691,purchasing,junior,medium,2,no,no,3,21600,yes
221,552640,technology,middle,low,9,no,no,3,33600,no
222,162327,sales,junior,low,1,no,no,3,15600,yes
223,230379,technology,junior,medium,1,no,no,2,26400,yes
224,385186,sales,junior,medium,2,no,no,3,21600,yes
225,206419,sales,senior,low,3,no,no,3,37200,no
226,483807,purchasing,junior,low,2,no,yes,2,18000,yes
227,388298,technology,senior,low,4,no,no,3,39600,no
228,102878,hr,middle,low,7,no,no,4,20400,no
229,692462,purchasing,senior,medium,6,no,no,4,45600,no
230,150755,technology,junior,low,4,no,yes,4,15600,yes
231,740891,technology,junior,low,3,no,no,5,19200,no
232,316018,hr,junior,low,2,no,no,1,15600,yes
233,941648,technology,junior,medium,1,no,no,3,26400,yes
234,654730,technology,middle,high,5,no,yes,3,55200,no
235,905303,hr,middle,medium,3,no,no,4,46800,no
236,916095,technology,middle,high,2,no,no,3,60000,no
237,616233,purchasing,senior,medium,10,no,yes,2,56400,no
238,741468,technology,senior,medium,7,no,no,1,61200,no
239,438157,marketing,middle,low,7,no,yes,3,19200,no
240,608274,hr,junior,low,1,no,no,4,13200,yes
241,783415,technology,senior,low,10,no,no,3,45600,no
242,802697,purchasing,senior,medium,8,no,no,3,45600,no
243,370688,sales,middle,low,7,no,no,1,27600,no
244,451941,technology,middle,low,1,no,no,5,28800,no
245,927104,sales,middle,high,6,no,no,4,52800,no
246,169650,sales,senior,high,10,no,no,4,79200,no
247,305374,hr,junior,medium,3,no,yes,4,27600,no
248,392449,technology,junior,medium,1,no,no,4,26400,yes
249,135764,sales,middle,low,3,no,no,4,28800,no
250,386583,purchasing,junior,medium,1,no,no,4,28800,no
251,328043,technology,middle,medium,3,no,no,4,51600,no
252,207021,technology,junior,low,1,no,no,2,14400,yes
253,312966,purchasing,middle,high,5,yes,no,4,60000,no
254,362060,sales,junior,low,1,no,no,4,12000,yes
255,750102,marketing,junior,low,2,no,yes,5,16800,yes
256,120482,purchasing,middle,medium,4,no,yes,2,32400,no
257,214377,purchasing,senior,high,1,yes,no,4,67200,no
258,251912,hr,junior,low,1,no,yes,4,13200,yes
259,603021,sales,middle,low,7,no,no,3,19200,no
260,807927,sales,junior,low,1,no,no,3,12000,yes
261,189244,marketing,junior,medium,2,no,no,3,27600,yes
262,226397,sales,middle,medium,2,no,no,3,37200,no
263,144547,sales,junior,low,1,no,no,3,18000,yes
264,401856,marketing,middle,medium,4,no,no,2,40800,no
265,436458,sales,junior,medium,2,no,no,3,24000,yes
266,182899,hr,junior,medium,5,no,no,3,25200,no
267,207941,technology,middle,medium,2,no,no,3,49200,no
268,996377,purchasing,middle,medium,7,no,no,3,38400,no
269,559531,sales,senior,medium,7,no,yes,4,58800,no
270,371000,sales,middle,medium,4,yes,no,1,32400,no
271,119025,sales,middle,medium,6,no,no,4,38400,no
272,149984,sales,junior,low,1,no,no,3,14400,yes
273,911769,sales,junior,low,3,no,no,3,12000,yes
274,527023,sales,middle,high,9,no,no,5,58800,no
275,350426,marketing,middle,low,5,no,no,3,25200,no
276,449388,sales,junior,low,1,no,no,4,12000,yes
277,409164,sales,junior,medium,2,no,no,4,21600,no
278,184443,sales,middle,low,6,no,no,4,28800,no
279,842101,technology,middle,low,8,no,yes,2,21600,no
280,125627,hr,junior,low,2,no,no,4,13200,yes
281,392165,purchasing,junior,low,1,no,yes,3,12000,yes
282,114639,technology,junior,low,1,no,no,2,14400,yes
283,514296,technology,middle,medium,5,no,no,3,44400,yes
284,664644,sales,middle,medium,5,no,no,5,43200,no
285,307489,sales,middle,medium,9,no,no,2,42000,no
286,638931,technology,senior,high,10,no,no,4,88800,no
287,397894,sales,middle,medium,2,yes,no,3,43200,no
288,277605,purchasing,middle,high,7,no,no,1,51600,no
289,474984,technology,middle,low,2,no,no,5,34800,no
290,271418,sales,middle,medium,6,no,no,4,33600,no
291,748098,technology,junior,medium,1,no,no,5,31200,no
292,482717,marketing,middle,medium,7,no,no,4,36000,no
293,805062,sales,junior,low,1,no,no,4,15600,no
294,126058,technology,middle,low,6,no,no,1,32400,no
295,311754,sales,middle,low,5,no,no,4,19200,no
296,116852,sales,junior,low,1,no,no,4,12000,yes
297,226277,technology,junior,medium,1,no,no,4,36000,yes
298,683433,technology,middle,medium,2,no,no,3,38400,no
299,552289,marketing,middle,high,8,no,no,4,58800,no
300,795056,sales,middle,low,5,no,no,3,27600,no
301,429344,marketing,middle,high,4,no,no,3,55200,no
302,327229,marketing,middle,medium,9,no,no,3,42000,no
303,931776,sales,junior,low,2,no,no,3,12000,yes
304,127608,sales,junior,low,1,no,no,3,12000,yes
305,509370,technology,middle,low,9,no,no,4,22800,no
306,634688,marketing,junior,medium,2,no,no,2,24000,yes
307,576016,sales,junior,medium,2,no,no,4,27600,no
308,679012,technology,junior,medium,3,no,no,4,26400,no
309,495264,hr,middle,medium,6,no,no,4,34800,no
310,166460,sales,junior,low,1,no,no,3,15600,yes
311,332230,hr,middle,medium,4,no,no,5,46800,no
312,710263,purchasing,middle,high,3,no,no,4,49200,yes
313,273400,technology,junior,medium,1,no,no,1,25200,yes
314,638336,sales,middle,high,7,no,yes,2,46800,no
315,375947,sales,middle,high,2,no,no,4,58800,no
316,429914,sales,senior,high,3,no,no,4,78000,no
317,318030,hr,middle,medium,2,no,no,4,36000,no
318,804187,technology,senior,medium,7,no,no,1,68400,no
319,417202,purchasing,middle,high,3,no,no,3,51600,no
320,832316,sales,junior,low,4,no,yes,4,12000,no
321,225583,sales,middle,medium,1,no,no,3,38400,no
322,459290,sales,junior,medium,3,no,no,5,28800,no
323,740852,technology,senior,high,8,no,no,4,96000,no
324,108359,hr,junior,medium,1,no,no,4,31200,no
325,931260,technology,junior,medium,2,no,no,4,26400,no
326,746771,sales,junior,medium,2,no,no,2,26400,no
327,185931,technology,junior,medium,1,no,no,3,31200,yes
328,447096,sales,junior,medium,2,no,no,3,24000,no
329,615793,sales,junior,medium,1,no,no,3,20400,yes
330,705740,marketing,senior,medium,10,no,no,1,52800,no
331,290202,sales,junior,medium,1,no,no,3,20400,yes
332,878330,sales,junior,high,1,no,no,3,36000,yes
333,389318,technology,middle,high,4,no,no,4,69600,no
334,741857,sales,middle,medium,8,no,no,3,42000,no
335,274010,sales,junior,low,3,no,no,3,18000,no
336,103834,sales,junior,high,4,no,no,4,33600,no
337,418601,technology,junior,low,1,no,no,4,24000,yes
338,502008,sales,senior,medium,9,no,no,4,45600,no
339,592559,sales,middle,low,3,no,no,4,28800,no
340,268233,purchasing,junior,medium,1,no,no,4,30000,no
341,144331,technology,junior,low,1,no,yes,3,21600,yes
342,710623,hr,junior,medium,1,no,yes,3,22800,yes
343,593305,purchasing,junior,medium,1,no,no,5,26400,no
344,439618,purchasing,junior,low,2,no,no,3,15600,yes
345,669710,sales,junior,medium,1,no,no,5,28800,no
346,307811,marketing,middle,low,5,no,no,4,26400,no
347,416529,sales,junior,medium,1,no,no,2,27600,yes
348,773380,sales,junior,medium,1,no,no,3,20400,yes
349,828211,technology,senior,high,3,no,no,3,78000,no
350,233587,technology,junior,low,1,no,no,3,14400,yes
351,964619,marketing,middle,low,6,no,no,4,25200,no
352,683852,marketing,junior,low,2,no,no,4,20400,no
353,625643,technology,junior,medium,5,no,no,3,31200,no
354,512855,purchasing,junior,low,1,no,no,4,15600,yes
355,618546,technology,middle,low,5,no,yes,4,28800,no
356,780225,hr,middle,medium,6,no,no,5,36000,no
357,978553,technology,junior,medium,2,no,no,3,26400,yes
358,191966,sales,junior,low,2,no,no,3,12000,yes
359,791319,hr,middle,high,8,no,no,4,56400,no
360,935029,sales,middle,low,5,no,no,2,27600,no
361,973071,sales,senior,medium,6,no,no,4,58800,no
362,180125,sales,middle,medium,8,no,no,4,43200,no
363,976652,hr,junior,medium,1,no,no,1,22800,yes
364,862669,sales,middle,medium,5,no,no,4,43200,no
365,506954,technology,junior,high,1,no,yes,3,40800,yes
366,974747,purchasing,middle,medium,8,no,no,3,37200,no
367,413525,technology,middle,medium,9,no,no,4,45600,no
368,539082,hr,middle,medium,6,no,no,5,42000,no
369,756444,sales,middle,medium,3,no,no,3,42000,no
370,812082,technology,middle,medium,6,no,no,4,45600,no
371,514849,hr,junior,medium,3,no,yes,3,30000,yes
372,417561,technology,junior,low,3,no,no,1,14400,yes
373,599691,purchasing,junior,low,2,no,no,4,13200,yes
374,197871,purchasing,junior,low,1,no,no,3,15600,yes
375,815241,hr,senior,medium,4,yes,no,4,61200,no
376,138213,hr,middle,low,5,no,no,3,25200,no
377,213508,hr,middle,low,5,no,no,3,24000,no
378,658336,technology,junior,low,2,no,no,2,22800,yes
379,559780,sales,middle,medium,6,no,no,3,37200,no
380,222657,technology,middle,medium,5,no,no,2,44400,no
381,889626,technology,junior,medium,2,no,yes,2,33600,yes
382,510507,marketing,junior,medium,1,no,no,3,24000,yes
383,829190,marketing,middle,medium,5,no,no,4,40800,yes
384,171652,hr,middle,high,4,no,yes,4,62400,yes
385,276075,technology,junior,medium,2,no,no,4,34800,yes
386,660086,sales,junior,medium,2,no,no,4,27600,no
387,851468,sales,junior,medium,1,no,no,5,25200,no
388,354337,sales,junior,medium,1,no,yes,3,20400,yes
389,570070,sales,junior,low,1,no,no,4,15600,yes
390,226751,sales,junior,medium,2,no,no,5,27600,no
391,803491,technology,junior,medium,2,no,no,4,31200,no
392,644577,hr,junior,medium,1,no,no,4,30000,yes
393,415825,sales,junior,high,2,no,no,5,32400,yes
394,721658,marketing,middle,high,8,no,no,4,58800,no
395,365128,technology,junior,medium,1,no,no,4,34800,no
396,508214,technology,junior,low,2,no,no,5,22800,no
397,707898,sales,middle,medium,2,no,yes,2,42000,no
398,453616,sales,middle,medium,2,no,no,4,38400,no
399,714894,sales,junior,medium,1,no,no,3,26400,no
400,408077,technology,middle,medium,4,no,no,3,38400,no
401,644634,sales,junior,medium,1,no,yes,2,26400,yes
402,379842,sales,middle,medium,7,no,no,5,38400,no
403,392790,marketing,junior,medium,2,no,no,3,22800,yes
404,328437,marketing,junior,medium,1,no,yes,3,26400,yes
405,537166,marketing,junior,medium,2,no,no,3,26400,no
406,362474,marketing,middle,low,5,no,no,3,24000,no
407,758900,purchasing,junior,medium,2,no,no,4,22800,no
408,854897,marketing,middle,low,5,no,no,5,21600,no
409,639087,technology,junior,medium,1,no,no,5,34800,no
410,495222,sales,middle,medium,5,no,no,1,37200,no
411,726042,sales,junior,low,1,no,no,4,15600,yes
412,842713,sales,middle,medium,7,no,no,4,43200,no
413,336426,purchasing,middle,medium,3,no,yes,2,43200,no
414,243255,technology,middle,high,5,no,yes,2,56400,no
415,861258,purchasing,junior,low,1,no,no,4,19200,yes
416,937474,hr,junior,medium,1,no,no,5,30000,no
417,336465,technology,junior,medium,1,no,no,5,34800,no
418,590315,technology,middle,medium,3,no,no,3,49200,no
419,806839,marketing,junior,low,2,no,no,4,20400,no
420,697519,hr,senior,medium,2,no,yes,4,62400,no
421,854473,purchasing,junior,low,2,no,no,4,12000,yes
422,114682,marketing,middle,high,8,no,no,3,55200,no
423,909278,sales,junior,medium,1,no,no,3,24000,yes
424,496478,purchasing,middle,low,4,no,no,4,24000,no
425,200456,technology,junior,low,1,no,no,5,22800,yes
426,552227,sales,junior,low,2,no,no,3,12000,yes
427,333494,hr,junior,medium,2,no,no,3,26400,no
428,650877,sales,middle,medium,2,yes,no,5,43200,no
429,443503,technology,junior,medium,3,no,no,3,25200,yes
430,525488,sales,middle,medium,4,no,no,4,38400,no
431,578250,sales,junior,medium,1,no,no,4,24000,no
432,593390,technology,middle,medium,9,no,no,1,49200,no
433,631629,sales,middle,medium,9,no,no,3,33600,no
434,615405,sales,junior,low,2,no,no,3,12000,yes
435,881491,technology,middle,medium,7,no,no,4,40800,no
436,787475,technology,junior,low,1,no,yes,3,14400,yes
437,640950,marketing,middle,high,2,no,no,3,51600,no
438,647592,hr,middle,high,4,no,no,2,58800,no
439,425299,purchasing,middle,medium,2,no,no,2,37200,no
440,759794,sales,junior,medium,1,no,no,4,27600,no
441,386525,technology,junior,low,1,no,no,2,14400,yes
442,288469,sales,junior,high,2,no,no,4,31200,no
443,812175,hr,junior,medium,1,no,no,5,26400,no
444,295190,technology,middle,high,8,no,no,4,68400,no
445,195277,technology,middle,medium,6,no,no,5,52800,no
446,307761,sales,junior,medium,1,no,no,4,24000,no
447,148593,technology,middle,high,9,no,yes,3,55200,no
448,746526,sales,junior,medium,4,no,no,1,20400,no
449,102639,purchasing,junior,low,1,no,no,1,15600,yes
450,130650,sales,junior,low,1,no,no,3,14400,yes
451,201959,purchasing,junior,medium,5,no,no,4,21600,no
452,406520,sales,junior,low,2,no,yes,3,12000,yes
453,863129,marketing,middle,medium,8,no,no,3,46800,no
454,414177,sales,middle,medium,3,no,yes,4,33600,no
455,680918,hr,middle,medium,4,no,no,4,40800,no
456,647703,sales,senior,low,8,no,no,4,26400,no
457,504812,purchasing,junior,medium,1,no,yes,4,22800,yes
458,945165,purchasing,middle,low,7,no,yes,4,19200,no
459,357258,sales,junior,medium,2,no,no,2,24000,no
460,156170,sales,middle,low,6,no,no,4,28800,no
461,257868,technology,middle,medium,2,no,no,3,38400,no
462,917827,marketing,junior,medium,2,no,no,3,22800,yes
463,925029,marketing,junior,medium,4,no,no,4,28800,no
464,238242,sales,junior,high,2,no,no,5,34800,no
465,546166,hr,junior,medium,5,no,no,2,22800,no
466,364162,technology,junior,medium,2,no,no,3,33600,no
467,755212,marketing,middle,low,8,no,no,4,25200,no
468,568819,hr,junior,medium,4,no,no,4,30000,no
469,384953,purchasing,junior,low,3,no,no,2,15600,yes
470,877997,technology,middle,low,5,yes,yes,2,33600,no
471,900370,technology,middle,low,3,no,no,4,33600,no
472,133029,technology,middle,low,6,no,no,5,28800,no
473,516026,hr,junior,medium,2,no,no,4,30000,no
474,954404,marketing,senior,medium,1,no,no,4,55200,no
475,525798,sales,middle,low,7,no,no,5,28800,no
476,130141,sales,junior,low,3,no,no,4,15600,no
477,833758,sales,middle,medium,1,no,no,4,38400,no
478,906335,marketing,senior,high,6,no,no,4,70800,no
479,596340,sales,senior,medium,8,no,no,3,51600,no
480,273561,technology,junior,medium,2,no,no,3,26400,yes
481,692365,sales,junior,low,2,no,no,4,18000,no
482,149259,sales,middle,high,6,no,no,4,52800,no
483,203448,technology,middle,high,2,yes,no,3,55200,no
484,885332,sales,junior,medium,1,no,no,4,21600,yes
485,706881,technology,junior,medium,3,no,no,3,34800,no
486,621249,sales,junior,medium,2,no,yes,3,24000,yes
487,781810,hr,middle,medium,2,no,yes,3,39600,no
488,242918,sales,junior,low,2,no,no,3,18000,yes
489,886844,sales,middle,low,5,no,no,4,24000,no
490,292223,sales,middle,medium,4,no,no,4,38400,no
491,467216,marketing,junior,low,2,no,yes,2,16800,yes
492,103635,technology,junior,medium,2,no,no,4,27600,no
493,947289,sales,junior,low,5,no,yes,3,18000,yes
494,822815,technology,junior,medium,1,no,no,4,26400,no
495,326307,sales,junior,low,1,no,no,3,14400,yes
496,675769,hr,junior,medium,3,no,no,4,26400,no
497,505592,technology,junior,medium,1,no,yes,4,31200,yes
498,943156,sales,middle,medium,5,no,no,3,36000,no
499,775186,marketing,middle,medium,4,no,no,4,48000,no
500,800579,technology,junior,medium,2,no,no,4,31200,no
501,284819,marketing,middle,high,2,no,no,2,50400,no
502,453479,marketing,middle,low,6,no,no,3,25200,no
503,340978,sales,junior,medium,4,no,no,2,24000,no
504,919407,marketing,junior,medium,1,no,no,4,25200,yes
505,458347,sales,junior,medium,2,no,no,3,24000,yes
506,353465,technology,middle,high,7,no,no,4,62400,no
507,184957,sales,junior,medium,1,no,yes,4,24000,no
